method,dataset,subset,image,num_faces_detected,false_positives,not_found,detection_time,accuracy
FaceNet,webcam,train,fb42e89d-8335-11ee-819a-9cfeff47d2fa.jpg,0,0,1,9.230435371398926,0.0
FaceNet,webcam,train,fb935431-8335-11ee-94da-9cfeff47d2fa.jpg,1,0,0,9.02985954284668,1.0
FaceNet,webcam,train,fbe21232-8335-11ee-9efb-9cfeff47d2fa.jpg,1,0,0,8.884567260742188,1.0
FaceNet,webcam,train,fc3278a3-8335-11ee-8393-9cfeff47d2fa.jpg,1,0,0,8.939531087875366,1.0
FaceNet,webcam,train,fc84be21-8335-11ee-b45a-9cfeff47d2fa.jpg,0,0,1,8.710487842559814,0.0
FaceNet,webcam,train,fcd4c992-8335-11ee-8b82-9cfeff47d2fa.jpg,1,0,0,1.5421438217163086,1.0
FaceNet,webcam,val,f5148e3a-8335-11ee-b233-9cfeff47d2fa.jpg,1,0,0,1.7418138980865479,1.0
FaceNet,webcam,val,f875155f-8335-11ee-9c28-9cfeff47d2fa.jpg,1,0,0,1.7368128299713135,1.0
FaceNet,webcam,val,f9b101ac-8335-11ee-9f75-9cfeff47d2fa.jpg,1,0,0,1.729121446609497,1.0
FaceNet,webcam,val,faa2682e-8335-11ee-816f-9cfeff47d2fa.jpg,0,0,1,1.7131352424621582,0.0
Face Recognition,webcam,test,f47812f7-8335-11ee-8266-9cfeff47d2fa.jpg,0,0,1,0.02168750762939453,0.0
Face Recognition,webcam,test,f6002dd6-8335-11ee-b9ec-9cfeff47d2fa.jpg,0,0,1,0.019686222076416016,0.0
Face Recognition,webcam,test,f69e6a64-8335-11ee-9c58-9cfeff47d2fa.jpg,0,0,1,0.0207211971282959,0.0
